sample_number,id,tube_id,collection.year,stream,lek,genotype,sex,seq_genotype,notes
1,BW42_M_A_09,BW11_MA,2009,BW,BW42,ST,M,,
2,BW43_M_A_09,BW12_MA,2009,BW,BW43,ST,M,,
3,BW48_M_A_09,BW17_MA,2009,BW,BW48,ST,M,,
4,BW60_M_A_09,BW29_MA,2009,BW,BW60,SR,M,ST,
5,BW61_M_A_09,BW30_MA,2009,BW,BW61,SR,M,,
6,BW39_M_A_09,BW8_MA,2009,BW,BW39,SR,M,,
7,Q36_M_A_09,Q10_MA,2009,Q,Q36,ST,M,SR,note same tube id
8,Q43_M_A_09,Q17_MA,2009,Q,Q43,ST,M,,
9,Q35_M_A_09,Q9_MA,2009,Q,Q35,ST,M,,
10,UBW54_M_A_09,UBW12_MA,2009,UBW,UBW54,SR,M,,
11,UBW56_M_A_09,UBW14_MA,2009,UBW,UBW56,ST,M,,
12,UBW57_M_A_09,UBW15_MA,2009,UBW,UBW57,SR,M,,
13,UBW57_M_B_09,UBW15_MB,2009,UBW,UBW57,ST,M,,
14,UBW63_M_A_09,UBW21_MA,2009,UBW,UBW63,SR,M,,
15,UBW66_M_A_09,UBW24_MA,2009,UBW,UBW66,ST,M,,
16,UBW74_M_C_09,UBW32_MC,2009,UBW,UBW74,SR,M,ST,
17,UBW78_M_A_09,UBW36_MA,2009,UBW,UBW78,SR,M,,
18,UBW84_M_A_09,UBW42_MA,2009,UBW,UBW84,SR,M,,
19,UBW86_M_A_09,UBW44_MA,2009,UBW,UBW86,SR,M,,
20,UBW47_M_A_09,UBW5_MA,2009,UBW,UBW47,ST,M,,
21,UBW49_M_A_09,UBW7_MA,2009,UBW,UBW49,ST,M,,
22,UBW50_M_A_09,UBW8_MA,2009,UBW,UBW50,ST,M,,
23,BW87_M_A_10,BW23_MA,2010,BW,BW87,SR,M,,
24,BW98_M_A_10,BW34_MA,2010,BW,BW98,SR,M,,
25,BW101_M_A_10,BW37_MA,2010,BW,BW101,ST,M,,
26,BW103_M_A_10,BW39_MA,2010,BW,BW103,ST,M,,
27,BW103_M_B_10,BW39_MB,2010,BW,BW103,ST,M,,
28,BW104_M_B_10,BW40_MB,2010,BW,BW104,ST,M,,
29,BW69_M_A_10,BW5_MA,2010,BW,BW69,SR,M,,
30,C59_M_A_10,C10_MA,2010,C,C59,SR,M,,
31,C63_M_B_10,C14_MB,2010,C,C63,SR,M,,
32,LFC40_M_B_10,LFSC9_MB,2010,LFSC,LFC40,ST,M,,
33,P19_M_A_10,P9_MA,2010,P,P19,SR,M,ST,
34,Q50_M_A_10,Q1_MA,2010,Q,Q50,ST,M,,
35,Q59_M_A_10,Q10_MA,2010,Q,Q59,ST,M,SR,note same tube id
36,Q63_M_A_10,Q14_MA,2010,Q,Q63,ST,M,,
37,Q68_M_A_10,Q19_MA,2010,Q,Q68,ST,M,,
38,Q71_M_A_10,Q22_MA,2010,Q,Q71,ST,M,,
39,Q72_M_A_10,Q23_MA,2010,Q,Q72,ST,M,,
40,Q73_M_A_10,Q24_MA,2010,Q,Q73,ST,M,,
41,Q75_M_A_10,Q26_MA,2010,Q,Q75,ST,M,,
