celltype,marker
accessory_gland,gene_4618
cyst,gene_4618
epithelial,gene_4617
accessory_gland,gene_4617
epithelial,gene_4617
epithelial,gene_4617
seminal_vesicle,gene_4617
cyst,gene_3556
spermatocyte,gene_3556
spermatocyte,gene_3556
cyst,gene_3556
hemocyte,gene_3556
muscle_cell,gene_2227
muscle_cell,gene_8126
muscle_cell,gene_9917
muscle_cell,gene_652
adult_fat_cell,gene_9917
adult_fat_cell,gene_652
muscle_cell,gene_9609
muscle_cell,gene_7283
cyst,gene_9652
hemocyte,gene_9652
muscle_cell,gene_2002
hemocyte,gene_10286
spermatocyte,gene_10179
cyst,PB.370
epithelial,gene_402
cyst,STRG.8676
adult_fat_cell,gene_10193
cyst,gene_6838
hemocyte,gene_6838
muscle_cell,gene_2160
muscle_cell,gene_3497
muscle_cell,gene_1069
cyst,gene_4808
cyst,gene_4974
muscle_cell,gene_4808
muscle_cell,gene_4974
cyst,gene_4808
cyst,gene_4974
accessory_gland,gene_2381
epithelial,gene_2381
semen-secreting_cell_of_the_male_reproductive_system,gene_2381
epithelial,gene_4225
hemocyte,gene_8287
seminal_vesicle,gene_3702
spermatid,gene_3702
epithelial,gene_3702
accessory_gland,gene_3702
epithelial,gene_3702
accessory_gland,gene_3702
epithelial,gene_9298
muscle_cell,gene_2937
hemocyte,PB.7976
epithelial,PB.3916
hemocyte,gene_3169
adult_fat_cell,gene_4387
epithelial,gene_241
hemocyte,gene_3860
seminal_vesicle,gene_215
epithelial,gene_215
epithelial,PB.2301
muscle_cell,PB.2301
spermatocyte,gene_10147
spermatocyte,gene_2636
spermatocyte,gene_4174
spermatocyte,gene_10147
spermatocyte,gene_2636
spermatocyte,gene_4174
cyst,gene_9798
cyst,gene_9798
muscle_cell,gene_133
cyst,gene_218
muscle_cell,gene_4445
muscle_cell,g7380
spermatocyte,PB.2768
muscle_cell,gene_8010
spermatid,gene_7540
spermatid,gene_7540
cyst,gene_7540
epithelial,gene_7540
spermatocyte,gene_7540
spermatid,gene_7540
spermatid,gene_7540
spermatid,gene_3320
spermatocyte,gene_3320
spermatid,gene_3320
epithelial,gene_3182
adult_fat_cell,gene_8754
adult_fat_cell,gene_8596
adult_fat_cell,gene_6754
cyst,PB.5970
cyst,PB.5970
accessory_gland,gene_8216
hemocyte,gene_7326
adult_fat_cell,gene_7316
hemocyte,gene_4601
muscle_cell,PB.249
epithelial,PB.249
cyst,gene_177
cyst,gene_177
cyst,gene_177
epithelial,gene_177
muscle_cell,gene_177
adult_fat_cell,gene_782
spermatocyte,gene_1371
hemocyte,gene_9616
hemocyte,gene_7684
cyst,PB.1238
hemocyte,PB.1238
cyst,PB.1238
accessory_gland,PB.7783
semen-secreting_cell_of_the_male_reproductive_system,PB.7783
accessory_gland,PB.7783
epithelial,g4529
adult_fat_cell,g4529
muscle_cell,gene_5206
adult_fat_cell,PB.5027
epithelial,gene_5243
spermatid,gene_7443
spermatid,gene_7443
epithelial,gene_7443
spermatid,gene_1058
spermatid,gene_3363
spermatid,gene_8521
spermatocyte,gene_1058
spermatocyte,gene_3363
spermatocyte,gene_8521
spermatid,gene_1058
spermatid,gene_3363
spermatid,gene_8521
spermatid,gene_1058
spermatid,gene_3363
spermatid,gene_8521
epithelial,gene_1058
epithelial,gene_3363
epithelial,gene_8521
cyst,gene_1058
cyst,gene_3363
cyst,gene_8521
spermatid,gene_1058
spermatid,gene_3363
spermatid,gene_8521
spermatocyte,gene_1058
spermatocyte,gene_3363
spermatocyte,gene_8521
adult_fat_cell,gene_4619
