celltype,marker
Epithelial_cells,gene_4617
Hub_cells,g3684
Cyst,g3684
Somatic_cells,gene_5392
Epithelial_cells,gene_5392
Spermatids,gene_3363
Spermatids,gene_8521
Spermatids,gene_1058
Spermatids,gene_3363
Spermatids,gene_8521
Spermatids,gene_1058
Cyst,g10310
Cyst,g10310
Spermatocytes,g10310
Cyst,g10310
Cyst,g10310
testis_pigment_cell,gene_2773
testis_pigment_cell,gene_2773
Somatic_cells,g8036
Epithelial_cells,g10203
Epithelial_cells,gene_1412
Cyst,g10311
Cyst,g10311
Cyst,g10311
testis_pigment_cell,gene_8310
Spermatocytes,gene_3402
Spermatocytes,gene_3402
Spermatocytes,gene_3402
Spermatocytes,gene_3402
Hub_cells,PB.3057
Hub_cells,g1959
Spermatocytes,PB.370
Cyst,STRG.11227
Cyst,gene_9763
Cyst,g6377
Spermatocytes,g6377
Spermatocytes,g6377
Cyst,g6377
Cyst,g6377
Cyst,g6377
Spermatids,g6377
Hub_cells,PB.2269
Cyst,PB.2269
Spermatocytes,gene_5114
Spermatocytes,gene_5114
Cyst,g2052
Cyst,gene_7522
Cyst,gene_7522
Spermatocytes,gene_10147
Spermatocytes,gene_4209
Spermatocytes,gene_4209
Spermatocytes,gene_4209
Spermatocytes,gene_4145
Spermatocytes,gene_4145
Hub_cells,gene_9573
Cyst,STRG.6223
Epithelial_cells,gene_5370
GSC_or_Early_spermatogonia,gene_9261
Cyst,gene_9261
Spermatocytes,gene_9261
Epithelial_cells,gene_9261
Spermatids,gene_9261
Spermatids,gene_9261
Cyst,gene_1400
Cyst,gene_1056
GSC_or_Early_spermatogonia,gene_7198
Epithelial_cells,gene_6507
Epithelial_cells,gene_6507
Epithelial_cells,PB.2651
Spermatocytes,gene_9011
Cyst,gene_9011
Spermatocytes,gene_8558
Spermatocytes,gene_6224
Epithelial_cells,gene_7409
Somatic_cells,gene_4232
Hub_cells,gene_2264
Spermatocytes,gene_4501
Somatic_cells,gene_4511
Cyst,gene_4491
Spermatocytes,gene_4496
Spermatocytes,gene_4496
Spermatocytes,gene_4496
Spermatocytes,gene_4496
Spermatocytes,gene_4496
Spermatocytes,gene_4496
Cyst,gene_957
testis_pigment_cell,PB.7689
Spermatids,gene_6153
Cyst,gene_4297
Cyst,gene_5816
GSC_or_Early_spermatogonia,PB.9066
Cyst,PB.1758
Spermatocytes,PB.1758
Epithelial_cells,PB.4922
Epithelial_cells,gene_9538
Cyst,gene_9538
Cyst,g1347
Hub_cells,g1347
Cyst,gene_9022
Cyst,gene_2317
Somatic_cells,gene_9022
Somatic_cells,gene_2317
Epithelial_cells,gene_9022
Epithelial_cells,gene_2317
Somatic_cells,gene_6074
Epithelial_cells,gene_6074
Spermatocytes,g6407
Spermatocytes,gene_7563
Spermatocytes,gene_7563
Spermatocytes,gene_7563
Spermatocytes,gene_7563
Spermatocytes,gene_7563
Spermatocytes,gene_7563
Spermatocytes,gene_7563
Epithelial_cells,gene_857
Epithelial_cells,gene_2794
Cyst,gene_8748
Spermatocytes,gene_8748
Spermatocytes,gene_8748
testis_pigment_cell,gene_9578
Cyst,gene_8368
Spermatocytes,gene_8368
GSC_or_Early_spermatogonia,STRG.12740
GSC_or_Early_spermatogonia,STRG.12740
Somatic_cells,gene_1390
Cyst,gene_3911
Hub_cells,gene_348
Spermatocytes,gene_7195
Spermatocytes,gene_7195
Cyst,PB.5211
Hub_cells,PB.5211
Cyst,PB.5211
GSC_or_Early_spermatogonia,PB.7997
