celltype,marker
Hub_cells,gene_1917
Late_spermatogonia,gene_6696
Late_spermatogonia,gene_6696
Late_spermatogonia,gene_6696
Late_spermatogonia,gene_6696
Late_spermatogonia,gene_6696
Late_spermatogonia,gene_9527
Early_spermatids,g5712
Cyst,g4622
Late_spermatogonia,g4622
Early_spermatids,gene_6717
Early_spermatocytes,gene_8013
Mature_spermatids,gene_1956
Late_spermatogonia,gene_3129
Mature_spermatids,STRG.10570
Mature_spermatids,gene_3280
Mature_spermatids,gene_9682
Early_spermatids,gene_1039
Cyst,gene_1082
Early_spermatids,gene_3845
Late_spermatocytes,gene_3845
Early_spermatocytes,gene_2831
Early_spermatocytes,gene_9666
Hub_cells,gene_1555
Early_spermatocytes,gene_1555
Early_spermatids,gene_9121
Late_spermatocytes,gene_9121
Early_spermatids,STRG.3368
Late_spermatocytes,STRG.3368
Early_spermatids,gene_9034
Cyst,g5021
Late_spermatogonia,g5021
Mature_spermatids,gene_7888
Hub_cells,gene_6514
Cyst,gene_5849
Hub_cells,STRG.7493
Early_spermatocytes,STRG.12129
Early_spermatocytes,STRG.14793
Late_spermatogonia,STRG.14006
Late_spermatocytes,gene_8750
Hub_cells,PB.9248
Mature_spermatids,STRG.3620
Cyst,STRG.5106
Epithelial_cells,g7070
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7323
Epithelial_cells,gene_8604
GSC_or_Early_spermatogonia,gene_505
Cyst,PB.8424
Epithelial_cells,g5589
GSC_or_Early_spermatogonia,g5589
Epithelial_cells,g4097
Epithelial_cells,gene_2995
Cyst,gene_10064
Early_spermatocytes,gene_3260
Early_spermatids,gene_7224
Epithelial_cells,g6377
Late_spermatogonia,g9513
Cyst,g9513
Mature_spermatids,gene_2693
Mature_spermatids,gene_2693
Mature_spermatids,gene_2693
Mature_spermatids,gene_2693
Mature_spermatids,gene_2693
Late_spermatocytes,g3853
Early_spermatocytes,gene_10082
Early_spermatocytes,PB.1115
Late_spermatocytes,STRG.5943
Mature_spermatids,gene_1517
Cyst,gene_1360
Hub_cells,PB.606
Late_spermatogonia,gene_3983
Cyst,gene_3983
GSC_or_Early_spermatogonia,gene_6451
Late_spermatogonia,gene_6451
Epithelial_cells,g668
Mature_spermatids,PB.3192
Late_spermatocytes,gene_657
Hub_cells,gene_657
Early_spermatids,gene_5541
Early_spermatids,gene_7723
Early_spermatids,gene_5541
Early_spermatids,gene_7723
Mature_spermatids,gene_6153
Late_spermatogonia,gene_1308
Late_spermatogonia,gene_1308
Late_spermatogonia,gene_1308
Late_spermatogonia,gene_1308
Late_spermatogonia,gene_1308
Late_spermatogonia,gene_5735
Early_spermatids,PB.1574
Late_spermatocytes,PB.1574
Late_spermatogonia,PB.2431
GSC_or_Early_spermatogonia,PB.2431
Cyst,g8887
GSC_or_Early_spermatogonia,PB.3227
GSC_or_Early_spermatogonia,g5662
Epithelial_cells,g5662
GSC_or_Early_spermatogonia,g1159
Epithelial_cells,PB.3621
GSC_or_Early_spermatogonia,PB.3621
Late_spermatogonia,PB.3621
Epithelial_cells,PB.10083
GSC_or_Early_spermatogonia,PB.10083
Epithelial_cells,PB.9585
GSC_or_Early_spermatogonia,PB.9585
GSC_or_Early_spermatogonia,STRG.10647
Epithelial_cells,STRG.10647
Late_spermatogonia,STRG.10647
GSC_or_Early_spermatogonia,gene_8057
Late_spermatogonia,gene_8057
GSC_or_Early_spermatogonia,g893
Epithelial_cells,g893
Late_spermatogonia,g893
GSC_or_Early_spermatogonia,gene_7699
Late_spermatogonia,gene_7699
Epithelial_cells,gene_3203
GSC_or_Early_spermatogonia,g10538
Epithelial_cells,g10538
GSC_or_Early_spermatogonia,g4237
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
Epithelial_cells,gene_2946
GSC_or_Early_spermatogonia,PB.4065
Epithelial_cells,gene_9486
GSC_or_Early_spermatogonia,gene_9486
GSC_or_Early_spermatogonia,PB.1816
Epithelial_cells,gene_5712
GSC_or_Early_spermatogonia,gene_5712
GSC_or_Early_spermatogonia,STRG.3278
Late_spermatogonia,STRG.3278
Late_spermatogonia,gene_7666
GSC_or_Early_spermatogonia,gene_7666
GSC_or_Early_spermatogonia,g173
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,g10372
GSC_or_Early_spermatogonia,g9039
Late_spermatogonia,g9039
Epithelial_cells,g1356
GSC_or_Early_spermatogonia,g1356
Late_spermatogonia,gene_1163
Epithelial_cells,gene_1163
GSC_or_Early_spermatogonia,gene_1163
Epithelial_cells,g6001
Late_spermatogonia,g6001
GSC_or_Early_spermatogonia,g6001
GSC_or_Early_spermatogonia,PB.10243
Epithelial_cells,PB.10243
GSC_or_Early_spermatogonia,g5785
Late_spermatogonia,g5785
Cyst,g3483
Late_spermatogonia,g3483
GSC_or_Early_spermatogonia,gene_7703
