celltype,marker
Cyst,g10310
Cyst,g10310
Cyst,g10310
Cyst,g10310
Cyst,g10311
Cyst,g10311
Cyst,g10311
Cyst,g1347
Cyst,g2052
Cyst,g3392
Cyst,g3483
Cyst,g3684
Cyst,g4622
Cyst,g5021
Cyst,g6377
Cyst,g6377
Cyst,g6377
Cyst,g6377
Cyst,g8887
Cyst,g9513
Cyst,gene_10064
Cyst,gene_1056
Cyst,gene_1082
Cyst,gene_1360
Cyst,gene_1400
Cyst,gene_2317
Cyst,gene_3911
Cyst,gene_3983
Cyst,gene_4297
Cyst,gene_4491
Cyst,gene_5816
Cyst,gene_5849
Cyst,gene_6796
Cyst,gene_7323
Cyst,gene_7522
Cyst,gene_7522
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_7616
Cyst,gene_8368
Cyst,gene_8748
Cyst,gene_9011
Cyst,gene_9022
Cyst,gene_9261
Cyst,gene_9538
Cyst,gene_957
Cyst,gene_9763
Cyst,PB.1758
Cyst,PB.2269
Cyst,PB.5211
Cyst,PB.5211
Cyst,PB.8424
Cyst,STRG.11227
Cyst,STRG.14829
Cyst,STRG.5106
Cyst,STRG.6223
Early_spermatids,g5712
Early_spermatids,g6377
Early_spermatids,gene_1039
Early_spermatids,gene_1058
Early_spermatids,gene_1058
Early_spermatids,gene_3363
Early_spermatids,gene_3363
Early_spermatids,gene_3845
Early_spermatids,gene_5541
Early_spermatids,gene_5541
Early_spermatids,gene_6717
Early_spermatids,gene_7224
Early_spermatids,gene_7723
Early_spermatids,gene_7723
Early_spermatids,gene_8133
Early_spermatids,gene_8521
Early_spermatids,gene_8521
Early_spermatids,gene_9034
Early_spermatids,gene_9121
Early_spermatids,gene_9261
Early_spermatids,gene_9261
Early_spermatids,PB.1574
Early_spermatids,STRG.3368
Early_spermatocytes,g5866
Early_spermatocytes,gene_10082
Early_spermatocytes,gene_10529
Early_spermatocytes,gene_1555
Early_spermatocytes,gene_2831
Early_spermatocytes,gene_3260
Early_spermatocytes,gene_8013
Early_spermatocytes,gene_9666
Early_spermatocytes,PB.1115
Early_spermatocytes,STRG.12129
Early_spermatocytes,STRG.14793
Epithelial_cells,g10203
Epithelial_cells,g10538
Epithelial_cells,g1356
Epithelial_cells,g4097
Epithelial_cells,g5589
Epithelial_cells,g5662
Epithelial_cells,g6001
Epithelial_cells,g6377
Epithelial_cells,g668
Epithelial_cells,g7070
Epithelial_cells,g8266
Epithelial_cells,g893
Epithelial_cells,gene_10466
Epithelial_cells,gene_1163
Epithelial_cells,gene_1412
Epithelial_cells,gene_2317
Epithelial_cells,gene_2701
Epithelial_cells,gene_2794
Epithelial_cells,gene_2946
Epithelial_cells,gene_2995
Epithelial_cells,gene_3203
Epithelial_cells,gene_4617
Epithelial_cells,gene_5370
Epithelial_cells,gene_5392
Epithelial_cells,gene_5712
Epithelial_cells,gene_6074
Epithelial_cells,gene_6507
Epithelial_cells,gene_6507
Epithelial_cells,gene_7409
Epithelial_cells,gene_8544
Epithelial_cells,gene_857
Epithelial_cells,gene_8604
Epithelial_cells,gene_9022
Epithelial_cells,gene_9261
Epithelial_cells,gene_9486
Epithelial_cells,gene_9538
Epithelial_cells,gene_97
Epithelial_cells,gene_97
Epithelial_cells,gene_97
Epithelial_cells,PB.10083
Epithelial_cells,PB.10243
Epithelial_cells,PB.2651
Epithelial_cells,PB.3621
Epithelial_cells,PB.4070
Epithelial_cells,PB.4922
Epithelial_cells,PB.9585
Epithelial_cells,STRG.10647
GSC_or_Early_spermatogonia,g10372
GSC_or_Early_spermatogonia,g10538
GSC_or_Early_spermatogonia,g10566
GSC_or_Early_spermatogonia,g1159
GSC_or_Early_spermatogonia,g1356
GSC_or_Early_spermatogonia,g173
GSC_or_Early_spermatogonia,g4237
GSC_or_Early_spermatogonia,g4508
GSC_or_Early_spermatogonia,g5589
GSC_or_Early_spermatogonia,g5662
GSC_or_Early_spermatogonia,g5785
GSC_or_Early_spermatogonia,g6001
GSC_or_Early_spermatogonia,g6795
GSC_or_Early_spermatogonia,g893
GSC_or_Early_spermatogonia,g9039
GSC_or_Early_spermatogonia,g9858
GSC_or_Early_spermatogonia,gene_1163
GSC_or_Early_spermatogonia,gene_1447
GSC_or_Early_spermatogonia,gene_2701
GSC_or_Early_spermatogonia,gene_505
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_567
GSC_or_Early_spermatogonia,gene_5712
GSC_or_Early_spermatogonia,gene_6451
GSC_or_Early_spermatogonia,gene_7198
GSC_or_Early_spermatogonia,gene_7666
GSC_or_Early_spermatogonia,gene_7699
GSC_or_Early_spermatogonia,gene_7703
GSC_or_Early_spermatogonia,gene_8057
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_8273
GSC_or_Early_spermatogonia,gene_9128
GSC_or_Early_spermatogonia,gene_9128
GSC_or_Early_spermatogonia,gene_9261
GSC_or_Early_spermatogonia,gene_9486
GSC_or_Early_spermatogonia,gene_97
