"Dros_TXN" "TDel_TXN" "gene" "TDel_CHR" "Dros_GID" "Dros_CHR" "phase" "geneID" "modified" "entrez" "name"
"1" "NM_001144731.3" "rna-XM_038082042.1" "LOC119671424" "NC_051846.1" "Dsp1" "NC_004354.4" "G2/M" "FBgn0278608" "6/29/18" "117294" "Dorsal switch protein 1"
"2" "NM_001169713.2" "rna-XM_038092200.1" "LOC119679705" "NC_051847.1" "Mapmodulin" "NT_033778.4" "G2/M" "FBgn0034282" "9/13/17" "37043" "mapmodulin"
"3" "NM_001259108.2" "rna-XM_038103587.1" "LOC119688916" "NC_051848.1" "CycE" "NT_033779.5" "S" "FBgn0010382" "9/13/1015553" "34924" "Cyclin E"
"4" "NM_001260200.2" "rna-XM_038089476.1" "LOC119677901" "NC_051847.1" "msps" "NT_033777.3" "G2/M" "FBgn0027948" "9/13/17" "41952" "mini spindles"
"5" "NM_001273093.1" "rna-XM_038104330.1" "LOC119689496" "NC_051848.1" "Psf2" "NT_033779.5" "S" "FBgn0261976" "9/13/17" "33641" "Partner of Sld Five 2"
"6" "NM_001273651.1" "rna-XM_038101473.1" "LOC119687218" "NC_051848.1" "Top2" "NT_033779.5" "G2/M" "FBgn0284220" "6/29/17" "35225" "Topoisomerase 2"
"7" "NM_001275454.1" "rna-XM_038093097.1" "LOC119680332" "NC_051847.1" "Cks85A" "NT_033777.3" "G2/M" "FBgn0037613" "9/13/17" "41034" "Cyclin-dependent kinase subunit 85A"
"8" "NM_001275748.1" "rna-XM_038100893.1" "LOC119686334" "NC_051847.1" "Mps1" "NT_033777.3" "G2/M" "FBgn0000063" "9/13/17" "42126" "Monopolar spindle 1"
"9" "NM_001276132.1" "rna-XM_038090825.1" "LOC119678775" "NC_051847.1" "Usp1" "NT_033777.3" "S" "FBgn0028476" "9/13/17" "43462" "Ubiquitin specific protease 1"
"10" "NM_001298020.1" "rna-XM_038101992.1" "LOC119687610" "NC_051846.1" "pigs" "NC_004354.4" "G2/M" "FBgn0029881" "9/13/17" "31596" "pickled eggs"
"11" "NM_001298692.1" "rna-XM_038101886.1" "LOC119687544" "NC_051848.1" "Bub1" "NT_033779.5" "G2/M" "FBgn0031696" "9/13/17" "33758" "Bub1 kinase"
"12" "NM_001299231.1" "rna-XM_038094398.1" "LOC119681257" "NC_051847.1" "dpa" "NT_033778.4" "S" "FBgn0015929" "9/13/17" "35679" "disc proliferation abnormal"
"13" "NM_001300005.1" "rna-XM_038076343.1" "LOC119667060" "NC_051846.1" "Claspin" "NT_037436.4" "S" "FBgn0052251" "9/13/17" "326205" "claspin"
"14" "NM_057401.4" "rna-XM_038095987.1" "LOC119682527" "NC_051847.1" "aurA" "NT_033777.3" "G2/M" "FBgn0000147" "9/13/17" "41446" "aurora A"
"15" "NM_057449.4" "rna-XM_038105189.1" "LOC119690183" "NC_051848.1" "Cdk1" "NT_033779.5" "G2/M" "FBgn0004106" "9/13/17" "34411" "Cyclin-dependent kinase 1"
"16" "NM_057557.4" "rna-XM_038093985.1" "LOC119680948" "NC_051847.1" "PCNA" "NT_033778.4" "S" "FBgn0005655" "9/13/17" "37290" "Proliferating cell nuclear antigen"
"17" "NM_057677.4" "rna-XM_038078028.1" "LOC119668497" "NC_051846.1" "pav" "NT_037436.4" "G2/M" "FBgn0011692" "9/13/17" "38515" "pavarotti"
"18" "NM_058019.4" "rna-XM_038081395.1" "LOC119670939" "NC_051846.1" "Ts" "NT_033779.5" "S" "FBgn0024920" "9/13/17" "33499" "Thymidylate synthase"
"19" "NM_058132.3" "rna-XM_038093189.1" "LOC119680397" "NC_051847.1" "Slbp" "NT_033777.3" "S" "FBgn0041186" "9/13/17" "43448" "Stem-loop binding protein"
"20" "NM_058153.4" "rna-XM_038102432.1" "LOC119687890" "NC_051848.1" "fzy" "NT_033779.5" "G2/M" "FBgn0001086" "9/13/17" "34968" "fizzy"
"21" "NM_078510.3" "rna-XM_038079025.1" "LOC119669204" "NC_051846.1" "Mcm6" "NC_004354.4" "S" "FBgn0025815" "9/13/17" "31603" "Minichromosome maintenance 6"
"22" "NM_079191.3" "rna-XM_038083363.1" "LOC119672341" "NC_051846.1" "RfC4" "NT_037436.4" "S" "FBgn0260985" "9/13/17" "38492" "Replication factor C subunit 4"
"23" "NM_079241.4" "rna-XM_038102542.1" "LOC119687967" "NC_051846.1" "pbl" "NT_037436.4" "G2/M" "FBgn0003041" "9/13/17" "38879" "pebble"
"24" "NM_079584.4" "rna-XM_038088751.1" "LOC119677415" "NC_051847.1" "Mcm5" "NT_033777.3" "S" "FBgn0017577" "9/13/17" "41296" "Minichromosome maintenance 5"
